insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 0 0
bubble 0 0
shell 0 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 1 0
bubble 1 0
shell 1 0
insertion 10 35
bubble 10 72
shell 10 40
insertion 10 42
bubble 10 72
shell 10 49
insertion 10 34
bubble 10 72
shell 10 38
insertion 10 36
bubble 10 63
shell 10 41
insertion 10 37
bubble 10 90
shell 10 40
insertion 10 36
bubble 10 99
shell 10 41
insertion 10 37
bubble 10 72
shell 10 43
insertion 10 41
bubble 10 90
shell 10 48
insertion 10 33
bubble 10 99
shell 10 38
insertion 10 38
bubble 10 72
shell 10 42
insertion 100 2892
bubble 100 9207
shell 100 3282
insertion 100 2621
bubble 100 9207
shell 100 3028
insertion 100 2725
bubble 100 8514
shell 100 3123
insertion 100 2803
bubble 100 9603
shell 100 3210
insertion 100 2495
bubble 100 9009
shell 100 2871
insertion 100 2666
bubble 100 9405
shell 100 3079
insertion 100 2403
bubble 100 7920
shell 100 2812
insertion 100 2724
bubble 100 8910
shell 100 3164
insertion 100 2646
bubble 100 9999
shell 100 3053
insertion 100 2979
bubble 100 8811
shell 100 3397
insertion 1000 255850
bubble 1000 936063
shell 1000 264368
insertion 1000 268192
bubble 1000 972027
shell 1000 276519
insertion 1000 251461
bubble 1000 966033
shell 1000 259793
insertion 1000 242499
bubble 1000 977022
shell 1000 250734
insertion 1000 241674
bubble 1000 955044
shell 1000 249939
insertion 1000 246989
bubble 1000 979020
shell 1000 255321
insertion 1000 252693
bubble 1000 955044
shell 1000 260897
insertion 1000 260695
bubble 1000 952047
shell 1000 269047
insertion 1000 254951
bubble 1000 958041
shell 1000 263199
insertion 1000 240243
bubble 1000 972027
shell 1000 248626
insertion 10000 25296868
bubble 10000 99100089
shell 10000 25405280
insertion 10000 24784142
bubble 10000 98090190
shell 10000 24891749
insertion 10000 25151720
bubble 10000 98490150
shell 10000 25259854
insertion 10000 25038145
bubble 10000 98090190
shell 10000 25146131
insertion 10000 24827201
bubble 10000 99100089
shell 10000 24935375
insertion 10000 24841396
bubble 10000 98740125
shell 10000 24949641
insertion 10000 25316012
bubble 10000 99880011
shell 10000 25423800
insertion 10000 25498273
bubble 10000 98550144
shell 10000 25606734
insertion 10000 25328201
bubble 10000 99130086
shell 10000 25436280
insertion 10000 24824245
bubble 10000 98140185
shell 10000 24932369
